,Year,Category,Nominee(s),Nominator(s)
12821,1931,Literature,Ramón Menéndez Pidal,49 members of The Nobel Prize Committee of the Society of Authors
12822,1931,Literature,Ramón Menéndez Pidal,52 representatives
12823,1931,Literature,Ramón Menéndez Pidal,"7 members of Faculté de Philosophie et Lettres, Brussels;"
12824,1931,Literature,Ramón Menéndez Pidal,14 members of the Portuguese Academy of Science
12825,1931,Literature,Ramón Menéndez Pidal,6 members of Real Academia de Bellas Artes de Toledo
12826,1931,Literature,Ramón Menéndez Pidal,21 members of the Royal Academy of History
12827,1931,Literature,Ramón Menéndez Pidal,Santiago Ramon y Cajàl
12828,1931,Literature,Ramón Menéndez Pidal,27 members of the Royal Spanish Academy (Real Academia Española )
12856,1932,Literature,Ramón Menéndez Pidal,Erik Staaff
12857,1932,Literature,Ramón Menéndez Pidal,30 members of the Royal Spanish Academy (Real Academia Española )
12994,1934,Literature,Ramón Menéndez Pidal,Per Hallström
13193,1938,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13246,1939,Literature,Ramón Menéndez Pidal,Knut Hjalmar Leonard Hammarskjöld
13502,1948,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13553,1949,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13602,1950,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13657,1951,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13658,1951,Literature,Ramón Menéndez Pidal,Walther von Wartburg
13659,1951,Literature,Ramón Menéndez Pidal,Alonso Zamora Vicente
13660,1951,Literature,Ramón Menéndez Pidal, Chilean Academy of Language (Academia Chilena de la Lengua)
13685,1952,Literature,Ramón Menéndez Pidal,100 institutions and individuals
13686,1952,Literature,Ramón Menéndez Pidal, Academie Argentina de Letras
13687,1952,Literature,Ramón Menéndez Pidal, Chilean Academy of Language (Academia Chilena de la Lengua)
13688,1952,Literature,Ramón Menéndez Pidal, Royal Spanish Academy
13750,1953,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13774,1954,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13815,1955,Literature,Ramón Menéndez Pidal,Gunnar Tilander
13816,1955,Literature,Ramón Menéndez Pidal,Rudolf Grossmann
13864,1956,Literature,Ramón Menéndez Pidal,Angel Rosenblat
13865,1956,Literature,Ramón Menéndez Pidal,9 professors at the faculty of Humanities
13866,1956,Literature,Ramón Menéndez Pidal,José Ramon Ayala
13867,1956,Literature,Ramón Menéndez Pidal,Mariano Picon Salas
13868,1956,Literature,Ramón Menéndez Pidal,William Smith
13869,1956,Literature,Ramón Menéndez Pidal,Concha Zardoya
13870,1956,Literature,Ramón Menéndez Pidal,Raymond Willis
